Date,Close
2024-01-02,598.00
2024-01-03,602.00
2024-01-04,605.00
2024-01-05,601.00
2024-01-08,608.00
2024-01-09,612.00
2024-01-10,610.00
2024-01-11,615.00
2024-01-12,618.00
2024-01-15,620.00
2024-01-16,617.00
2024-01-17,623.00
2024-01-18,629.00
2024-01-19,626.00
2024-01-22,632.00
2024-01-23,636.00
2024-01-24,634.00
2024-01-25,640.00
2024-01-26,644.00
2024-01-29,641.00
2024-01-30,638.00
2024-01-31,635.00
2024-02-01,639.00
2024-02-02,643.00
2024-02-05,648.00
2024-02-06,646.00
2024-02-07,650.00
2024-02-15,655.00
2024-02-16,652.00
2024-02-19,658.00
